learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,0,0.238,0.877,1,0.943604,2
1,4,1,0.238,0.877,1,0.970398,5
2,8,1,0.201,0.881,1,0.743134,2
2,8,5,0.201,0.881,1,0.812073,0
3,10,0,0.215,0.875,1,0.160889,0
3,10,2,0.215,0.875,1,0.74762,5
3,10,5,0.215,0.875,1,0.676025,7
4,13,0,0.229,0.865,1,0.627228,7
4,13,1,0.229,0.865,1,0.19397,1
4,13,8,0.229,0.865,1,0.260254,6
4,13,12,0.229,0.865,1,0.315735,5
5,9,3,0.22,0.871,1,0.204346,7
5,9,5,0.22,0.871,1,0.03006,6
5,9,8,0.22,0.871,1,0.352234,9
6,19,0,0.22,0.863,1,0.719238,2
6,19,2,0.22,0.863,1,0.574158,1
6,19,3,0.22,0.863,1,0.176636,0
6,19,10,0.22,0.863,1,0.499786,3
6,19,14,0.22,0.863,1,0.29538,7
8,10,5,0.223,0.887,1,0.325928,5
8,10,9,0.223,0.887,1,0.96933,7
9,13,0,0.199,0.871,1,0.108368,7
9,13,8,0.199,0.871,1,0.640594,3
11,2,0,0.194,0.867,1,0.267212,7
11,2,1,0.194,0.867,1,0.26889,2
12,19,4,0.221,0.877,1,0.007477,4
12,19,6,0.221,0.877,1,0.124084,0
13,8,0,0.232,0.87,1,0.258453,4
13,8,1,0.232,0.87,1,0.692078,2
13,8,2,0.232,0.87,1,0.134491,3
14,7,0,0.219,0.871,1,0.109161,7
14,7,1,0.219,0.871,1,0.928162,2
15,15,6,0.218,0.879,1,0.678711,2
15,15,8,0.218,0.879,1,0.901886,3
16,8,0,0.201,0.854,1,0.779877,2
17,16,3,0.22,0.885,1,0.904633,0
17,16,9,0.22,0.885,1,0.497101,4
17,16,14,0.22,0.885,1,0.990906,9
18,10,3,0.213,0.871,1,0.788177,4
18,10,8,0.213,0.871,1,0.443146,0
18,10,9,0.213,0.871,1,0.44989,6
19,5,1,0.203,0.874,1,0.935486,6
19,5,2,0.203,0.874,1,0.813293,0
20,16,0,0.203,0.875,1,0.108093,6
21,6,1,0.224,0.868,1,0.229248,0
21,6,3,0.224,0.868,1,0.647797,6
21,6,4,0.224,0.868,1,0.607849,1
22,11,4,0.213,0.886,1,0.624329,6
22,11,6,0.213,0.886,1,0.201752,5
24,12,0,0.204,0.882,1,0.013458,7
24,12,3,0.204,0.882,1,0.125122,6
24,12,5,0.204,0.882,1,0.805908,9
24,12,10,0.204,0.882,1,0.944885,4
25,15,0,0.222,0.878,1,0.096558,4
25,15,2,0.222,0.878,1,0.886261,0
25,15,8,0.222,0.878,1,0.318695,9
