learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,5,0.201,0.881,1,0.148407,3
2,8,6,0.201,0.881,1,0.190155,7
3,10,4,0.215,0.875,1,0.94519,7
3,10,5,0.215,0.875,1,0.949799,5
3,10,8,0.215,0.875,1,0.190674,2
4,13,0,0.229,0.865,1,0.249512,7
4,13,5,0.229,0.865,1,0.112427,2
4,13,7,0.229,0.865,1,0.401764,6
5,9,0,0.22,0.871,1,0.141205,2
5,9,5,0.22,0.871,1,0.393799,0
5,9,7,0.22,0.871,1,0.395844,6
6,19,1,0.22,0.863,1,0.187836,1
6,19,4,0.22,0.863,1,0.214813,0
6,19,9,0.22,0.863,1,0.733826,2
7,8,2,0.209,0.866,1,0.689667,2
7,8,5,0.209,0.866,1,0.602478,3
8,10,0,0.223,0.887,1,0.905731,3
8,10,4,0.223,0.887,1,0.26947,2
8,10,7,0.223,0.887,1,0.982849,0
9,13,3,0.199,0.871,1,0.730591,0
9,13,6,0.199,0.871,1,0.615204,3
9,13,10,0.199,0.871,1,0.992157,7
10,7,4,0.2,0.876,1,0.705872,7
12,19,5,0.221,0.877,1,0.172058,2
12,19,6,0.221,0.877,1,0.234863,7
12,19,8,0.221,0.877,1,0.686218,5
12,19,9,0.221,0.877,1,0.020813,4
12,19,12,0.221,0.877,1,0.059662,1
13,8,4,0.232,0.87,1,0.450714,5
14,7,5,0.219,0.871,1,0.0672,5
15,15,1,0.218,0.879,1,0.094666,5
15,15,4,0.218,0.879,1,0.119873,8
15,15,5,0.218,0.879,1,0.378357,3
15,15,7,0.218,0.879,1,0.056549,2
15,15,9,0.218,0.879,1,0.662781,0
15,15,12,0.218,0.879,1,0.340179,7
16,8,0,0.201,0.854,1,0.658356,0
16,8,3,0.201,0.854,1,0.689941,6
16,8,5,0.201,0.854,1,0.754547,2
17,16,8,0.22,0.885,1,0.944977,0
17,16,9,0.22,0.885,1,0.770599,4
19,5,1,0.203,0.874,1,0.481476,2
19,5,4,0.203,0.874,1,0.025513,0
20,16,1,0.203,0.875,1,0.67572,8
20,16,3,0.203,0.875,1,0.657959,3
20,16,4,0.203,0.875,1,0.62793,5
20,16,12,0.203,0.875,1,0.817749,2
21,6,2,0.224,0.868,1,0.960846,3
22,11,0,0.213,0.886,1,0.219116,3
22,11,5,0.213,0.886,1,0.46405,9
22,11,9,0.213,0.886,1,0.905487,0
24,12,2,0.204,0.882,1,0.982452,0
24,12,4,0.204,0.882,1,0.36615,4
24,12,10,0.204,0.882,1,0.898773,8
26,20,4,0.21,0.877,1,0.322693,8
26,20,5,0.21,0.877,1,0.931488,7
26,20,10,0.21,0.877,1,0.749329,2
27,10,8,0.197,0.884,1,0.49411,7
28,20,4,0.222,0.858,1,0.24408,2
28,20,8,0.222,0.858,1,0.541748,0
28,20,9,0.222,0.858,1,0.20697,4
28,20,10,0.222,0.858,1,0.140533,6
28,20,11,0.222,0.858,1,0.519318,9
28,20,14,0.222,0.858,1,0.11972,8
28,20,15,0.222,0.858,1,0.399902,3
29,20,5,0.225,0.848,1,0.873779,9
29,20,9,0.225,0.848,1,0.601074,3
29,20,14,0.225,0.848,1,0.793152,7
29,20,15,0.225,0.848,1,0.267456,5
29,20,19,0.225,0.848,1,0.130249,8
30,13,0,0.214,0.883,1,0.656891,5
30,13,2,0.214,0.883,1,0.096954,8
30,13,10,0.214,0.883,1,0.123383,3
31,10,3,0.21,0.878,1,0.709106,8
32,15,1,0.224,0.892,1,0.609894,3
32,15,8,0.224,0.892,1,0.449188,8
32,15,9,0.224,0.892,1,0.794891,5
32,15,14,0.224,0.892,1,0.089233,7
33,22,3,0.215,0.885,1,0.042206,6
33,22,10,0.215,0.885,1,0.275177,9
33,22,13,0.215,0.885,1,0.415619,4
33,22,14,0.215,0.885,1,0.050812,8
33,22,20,0.215,0.885,1,0.772766,7
34,3,2,0.204,0.891,1,0.785248,5
35,23,3,0.211,0.883,1,0.618408,5
35,23,11,0.211,0.883,1,0.11496,7
35,23,12,0.211,0.883,1,0.168793,8
35,23,14,0.211,0.883,1,0.452118,4
35,23,18,0.211,0.883,1,0.129883,2
35,23,20,0.211,0.883,1,0.959381,0
35,23,21,0.211,0.883,1,0.090393,1
36,19,1,0.226,0.864,1,0.253418,5
36,19,7,0.226,0.864,1,0.517456,8
36,19,10,0.226,0.864,1,0.780396,6
36,19,13,0.226,0.864,1,0.974792,0
36,19,17,0.226,0.864,1,0.66452,2
37,9,0,0.204,0.862,1,0.298035,5
37,9,8,0.204,0.862,1,0.779358,8
38,27,6,0.186,0.87,1,0.750488,2
38,27,7,0.186,0.87,1,0.522217,0
38,27,12,0.186,0.87,1,0.976654,6
38,27,20,0.186,0.87,1,0.747955,4
39,5,0,0.233,0.878,1,0.119324,6
39,5,1,0.233,0.878,1,0.982513,9
40,16,1,0.217,0.889,1,0.154175,6
40,16,8,0.217,0.889,1,0.868622,9
41,17,0,0.222,0.866,1,0.624695,2
41,17,2,0.222,0.866,1,0.135773,4
41,17,3,0.222,0.866,1,0.303131,1
41,17,9,0.222,0.866,1,0.88324,5
41,17,13,0.222,0.866,1,0.996155,6
43,19,5,0.208,0.866,1,0.033936,5
43,19,6,0.208,0.866,1,0.196472,8
43,19,11,0.208,0.866,1,0.199219,2
43,19,15,0.208,0.866,1,0.651459,7
44,18,7,0.229,0.874,1,0.243896,2
44,18,10,0.229,0.874,1,0.223999,6
44,18,16,0.229,0.874,1,0.87793,7
45,23,5,0.212,0.857,1,0.833496,7
45,23,11,0.212,0.857,1,0.423798,2
45,23,12,0.212,0.857,1,0.029266,3
45,23,16,0.212,0.857,1,0.884277,1
45,23,17,0.212,0.857,1,0.356842,9
45,23,21,0.212,0.857,1,0.237183,6
46,15,0,0.215,0.874,1,0.323059,9
46,15,1,0.215,0.874,1,0.852142,4
46,15,6,0.215,0.874,1,0.786804,5
46,15,12,0.215,0.874,1,0.754456,7
46,15,13,0.215,0.874,1,0.291595,8
46,15,14,0.215,0.874,1,0.431854,6
47,10,1,0.204,0.889,1,0.089691,4
47,10,4,0.204,0.889,1,0.219574,5
48,11,2,0.235,0.876,1,0.003693,8
48,11,8,0.235,0.876,1,0.130585,5
48,11,9,0.235,0.876,1,0.660095,4
48,11,10,0.235,0.876,1,0.069672,7
49,29,5,0.196,0.879,1,0.33609,7
49,29,7,0.196,0.879,1,0.975159,5
49,29,9,0.196,0.879,1,0.768036,8
49,29,21,0.196,0.879,1,0.037201,3
49,29,23,0.196,0.879,1,0.378662,2
49,29,26,0.196,0.879,1,0.596741,6
50,11,0,0.227,0.872,1,0.663727,5
50,11,1,0.227,0.872,1,0.150543,8
50,11,6,0.227,0.872,1,0.165527,3
50,11,7,0.227,0.872,1,0.703583,9
50,11,9,0.227,0.872,1,0.838226,0
