learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,2,0.238,0.877,1,0.348083,5
3,10,4,0.215,0.875,1,0.381927,8
4,13,3,0.229,0.865,1,0.621552,3
4,13,11,0.229,0.865,1,0.748901,8
4,13,12,0.229,0.865,1,0.933655,9
6,19,4,0.22,0.863,1,0.069336,3
6,19,6,0.22,0.863,1,0.692596,9
6,19,7,0.22,0.863,1,0.975403,1
6,19,11,0.22,0.863,1,0.2341,2
6,19,12,0.22,0.863,1,0.493988,6
6,19,16,0.22,0.863,1,0.539307,5
7,8,3,0.209,0.866,1,0.943481,5
7,8,7,0.209,0.866,1,0.115021,8
9,13,1,0.199,0.871,1,0.968262,2
9,13,9,0.199,0.871,1,0.473877,5
10,7,2,0.2,0.876,1,0.97226,7
11,2,1,0.194,0.867,1,0.26413,7
12,19,14,0.221,0.877,1,0.032837,7
12,19,16,0.221,0.877,1,0.411438,6
13,8,0,0.232,0.87,1,0.436127,6
13,8,4,0.232,0.87,1,0.811005,9
13,8,6,0.232,0.87,1,0.068054,4
14,7,1,0.219,0.871,1,0.153259,4
15,15,3,0.218,0.879,1,0.692688,8
15,15,4,0.218,0.879,1,0.486694,3
15,15,7,0.218,0.879,1,0.06485,5
15,15,9,0.218,0.879,1,0.41687,7
15,15,13,0.218,0.879,1,0.115509,2
16,8,1,0.201,0.854,1,0.005188,0
16,8,4,0.201,0.854,1,0.76825,4
16,8,6,0.201,0.854,1,0.011566,7
16,8,7,0.201,0.854,1,0.35498,6
17,16,0,0.22,0.885,1,0.638855,4
17,16,9,0.22,0.885,1,0.077972,0
17,16,15,0.22,0.885,1,0.919189,6
18,10,0,0.213,0.871,1,0.892517,6
18,10,6,0.213,0.871,1,0.879791,4
18,10,7,0.213,0.871,1,0.519073,2
19,5,3,0.203,0.874,1,0.12735,4
19,5,4,0.203,0.874,1,0.958221,0
20,16,4,0.203,0.875,1,0.589203,4
20,16,9,0.203,0.875,1,0.230469,6
20,16,12,0.203,0.875,1,0.907532,8
21,6,2,0.224,0.868,1,0.300873,6
22,11,0,0.213,0.886,1,0.344757,9
22,11,4,0.213,0.886,1,0.956329,2
22,11,5,0.213,0.886,1,0.841309,1
22,11,7,0.213,0.886,1,0.564423,3
22,11,10,0.213,0.886,1,0.50531,4
24,12,1,0.204,0.882,1,0.563416,4
24,12,6,0.204,0.882,1,0.404816,0
25,15,2,0.222,0.878,1,0.13739,4
25,15,5,0.222,0.878,1,0.885132,2
25,15,7,0.222,0.878,1,0.637329,6
25,15,8,0.222,0.878,1,0.200623,1
26,20,3,0.21,0.877,1,0.103729,2
26,20,6,0.21,0.877,1,0.432892,0
26,20,12,0.21,0.877,1,0.089783,8
26,20,13,0.21,0.877,1,0.081848,3
26,20,15,0.21,0.877,1,0.725555,7
26,20,18,0.21,0.877,1,0.66214,1
28,20,1,0.222,0.858,1,0.953369,6
28,20,5,0.222,0.858,1,0.150269,5
28,20,7,0.222,0.858,1,0.632507,7
28,20,17,0.222,0.858,1,0.057495,1
29,20,2,0.225,0.848,1,0.720612,6
29,20,6,0.225,0.848,1,0.020294,7
29,20,17,0.225,0.848,1,0.892334,1
29,20,18,0.225,0.848,1,0.046753,2
30,13,4,0.214,0.883,1,0.519928,3
31,10,0,0.21,0.878,1,0.522827,1
31,10,1,0.21,0.878,1,0.592682,6
31,10,8,0.21,0.878,1,0.23703,5
32,15,2,0.224,0.892,1,0.558289,1
32,15,4,0.224,0.892,1,0.702881,7
32,15,7,0.224,0.892,1,0.375519,6
32,15,8,0.224,0.892,1,0.99762,0
32,15,13,0.224,0.892,1,0.527252,3
33,22,0,0.215,0.885,1,0.620056,7
33,22,2,0.215,0.885,1,0.281219,2
33,22,4,0.215,0.885,1,0.596985,3
33,22,6,0.215,0.885,1,0.078796,1
33,22,10,0.215,0.885,1,0.690826,0
33,22,11,0.215,0.885,1,0.434967,8
33,22,18,0.215,0.885,1,0.259888,9
33,22,19,0.215,0.885,1,0.692902,4
34,3,0,0.204,0.891,1,0.385956,4
35,23,6,0.211,0.883,1,0.684448,4
35,23,10,0.211,0.883,1,0.916534,0
35,23,13,0.211,0.883,1,0.216187,9
35,23,17,0.211,0.883,1,0.792908,8
35,23,19,0.211,0.883,1,0.779724,3
35,23,21,0.211,0.883,1,0.297546,5
35,23,22,0.211,0.883,1,0.499664,7
36,19,5,0.226,0.864,1,0.792297,2
36,19,15,0.226,0.864,1,0.616028,0
37,9,4,0.204,0.862,1,0.055878,0
37,9,8,0.204,0.862,1,0.581299,4
38,27,7,0.186,0.87,1,0.68335,2
38,27,9,0.186,0.87,1,0.892761,1
38,27,11,0.186,0.87,1,0.891388,5
38,27,14,0.186,0.87,1,0.133453,7
38,27,20,0.186,0.87,1,0.591522,6
38,27,26,0.186,0.87,1,0.406036,0
40,16,0,0.217,0.889,1,0.673096,7
40,16,8,0.217,0.889,1,0.173187,0
40,16,12,0.217,0.889,1,0.228821,6
41,17,0,0.222,0.866,1,0.388794,6
41,17,4,0.222,0.866,1,0.668793,9
41,17,10,0.222,0.866,1,0.786652,2
41,17,12,0.222,0.866,1,0.8992,4
41,17,14,0.222,0.866,1,0.897003,0
43,19,0,0.208,0.866,1,0.421692,4
43,19,1,0.208,0.866,1,0.007996,2
43,19,3,0.208,0.866,1,0.481049,1
43,19,9,0.208,0.866,1,0.347229,5
43,19,11,0.208,0.866,1,0.392029,7
44,18,5,0.229,0.874,1,0.894684,1
