learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,1,0.201,0.881,1,0.154755,9
3,10,6,0.215,0.875,1,0.331451,1
4,13,4,0.229,0.865,1,0.452637,1
4,13,5,0.229,0.865,1,0.075348,0
4,13,7,0.229,0.865,1,0.048279,3
4,13,10,0.229,0.865,1,0.731384,9
5,9,3,0.22,0.871,1,0.004028,1
6,19,5,0.22,0.863,1,0.679565,2
6,19,6,0.22,0.863,1,0.288055,3
6,19,13,0.22,0.863,1,0.471222,1
6,19,15,0.22,0.863,1,0.028076,0
7,8,1,0.209,0.866,1,0.224457,4
7,8,6,0.209,0.866,1,0.056183,2
7,8,7,0.209,0.866,1,0.869934,1
8,10,2,0.223,0.887,1,0.641479,2
8,10,9,0.223,0.887,1,0.289215,1
9,13,3,0.199,0.871,1,0.036194,2
9,13,8,0.199,0.871,1,0.240601,1
9,13,12,0.199,0.871,1,0.584167,8
10,7,1,0.2,0.876,1,0.87677,9
10,7,6,0.2,0.876,1,0.539032,3
11,2,1,0.194,0.867,1,0.532562,9
12,19,4,0.221,0.877,1,0.259705,9
12,19,8,0.221,0.877,1,0.248871,1
12,19,13,0.221,0.877,1,0.374542,0
13,8,5,0.232,0.87,1,0.351013,0
15,15,0,0.218,0.879,1,0.995911,4
15,15,8,0.218,0.879,1,0.679779,6
15,15,9,0.218,0.879,1,0.604584,9
16,8,5,0.201,0.854,1,0.586609,4
17,16,13,0.22,0.885,1,0.243225,5
18,10,1,0.213,0.871,1,0.499359,5
18,10,6,0.213,0.871,1,0.291168,8
18,10,7,0.213,0.871,1,0.065765,6
20,16,6,0.203,0.875,1,0.240204,7
20,16,9,0.203,0.875,1,0.725861,1
20,16,15,0.203,0.875,1,0.385925,0
22,11,1,0.213,0.886,1,0.548737,0
22,11,3,0.213,0.886,1,0.891113,3
22,11,4,0.213,0.886,1,0.038483,8
24,12,4,0.204,0.882,1,0.173157,7
24,12,7,0.204,0.882,1,0.135803,5
25,15,1,0.222,0.878,1,0.561951,5
25,15,4,0.222,0.878,1,0.696259,8
25,15,6,0.222,0.878,1,0.589569,2
26,20,6,0.21,0.877,1,0.160583,5
26,20,8,0.21,0.877,1,0.265076,7
26,20,16,0.21,0.877,1,0.313965,8
27,10,5,0.197,0.884,1,0.9534,5
28,20,0,0.222,0.858,1,0.252838,5
28,20,10,0.222,0.858,1,0.437195,8
28,20,12,0.222,0.858,1,0.088806,2
28,20,15,0.222,0.858,1,0.826904,7
28,20,18,0.222,0.858,1,0.312347,3
29,20,4,0.225,0.848,1,0.462463,5
29,20,6,0.225,0.848,1,0.548279,7
29,20,9,0.225,0.848,1,0.318695,8
29,20,10,0.225,0.848,1,0.621887,2
29,20,13,0.225,0.848,1,0.987579,4
30,13,0,0.214,0.883,1,0.606537,4
30,13,8,0.214,0.883,1,0.825989,5
30,13,10,0.214,0.883,1,0.320251,7
30,13,11,0.214,0.883,1,0.869873,8
31,10,7,0.21,0.878,1,0.174072,5
32,15,1,0.224,0.892,1,0.314026,4
32,15,9,0.224,0.892,1,0.318878,9
33,22,15,0.215,0.885,1,0.826599,4
33,22,16,0.215,0.885,1,0.810608,0
34,3,0,0.204,0.891,1,0.008759,4
34,3,2,0.204,0.891,1,0.740234,5
35,23,2,0.211,0.883,1,0.994965,8
35,23,5,0.211,0.883,1,0.058868,5
35,23,6,0.211,0.883,1,0.88736,2
35,23,8,0.211,0.883,1,0.227295,0
35,23,19,0.211,0.883,1,0.710449,6
36,19,2,0.226,0.864,1,0.567383,5
36,19,8,0.226,0.864,1,0.368439,1
36,19,13,0.226,0.864,1,0.90741,0
36,19,15,0.226,0.864,1,0.475342,4
37,9,6,0.204,0.862,1,0.856323,4
38,27,16,0.186,0.87,1,0.589539,2
38,27,19,0.186,0.87,1,0.674561,0
38,27,24,0.186,0.87,1,0.526459,4
40,16,1,0.217,0.889,1,0.100311,4
40,16,3,0.217,0.889,1,0.56073,0
40,16,4,0.217,0.889,1,0.40918,3
40,16,5,0.217,0.889,1,0.54657,7
40,16,6,0.217,0.889,1,0.658508,5
41,17,1,0.222,0.866,1,0.784058,5
41,17,2,0.222,0.866,1,0.244385,7
41,17,7,0.222,0.866,1,0.709503,4
41,17,12,0.222,0.866,1,0.800598,1
41,17,14,0.222,0.866,1,0.17099,2
42,3,0,0.208,0.883,1,0.906158,2
42,3,2,0.208,0.883,1,0.90567,8
43,19,4,0.208,0.866,1,0.55304,2
43,19,15,0.208,0.866,1,0.402161,3
43,19,18,0.208,0.866,1,0.273773,1
44,18,10,0.229,0.874,1,0.58075,0
44,18,11,0.229,0.874,1,0.543823,8
44,18,13,0.229,0.874,1,0.029541,3
44,18,17,0.229,0.874,1,0.785919,9
45,23,4,0.212,0.857,1,0.943207,9
45,23,17,0.212,0.857,1,0.449127,1
46,15,0,0.215,0.874,1,0.210449,0
46,15,2,0.215,0.874,1,0.603882,9
46,15,4,0.215,0.874,1,0.70163,4
46,15,7,0.215,0.874,1,0.087494,8
46,15,14,0.215,0.874,1,0.841461,3
47,10,0,0.204,0.889,1,0.565887,9
47,10,9,0.204,0.889,1,0.684814,1
48,11,9,0.235,0.876,1,0.004944,0
48,11,10,0.235,0.876,1,0.41983,8
49,29,14,0.196,0.879,1,0.386841,3
49,29,20,0.196,0.879,1,0.485077,9
49,29,23,0.196,0.879,1,0.949371,1
50,11,0,0.227,0.872,1,0.228058,1
50,11,4,0.227,0.872,1,0.659912,2
50,11,8,0.227,0.872,1,0.71286,0
